FECHA_CORTE;ID_DEP;DEPARTAMENTO;ANIO;CANTIDAD
20260618;25;TOTAL;2019;1457000
20260618;1;AMAZONAS;2019;15866
20260618;2;ÁNCASH;2019;43790
20260618;3;APURÍMAC;2019;13872
20260618;4;AREQUIPA;2019;62621
20260618;5;AYACUCHO;2019;20957
20260618;6;CAJAMARCA;2019;37307
20260618;7;CUSCO;2019;99509
20260618;8;HUANCAVELICA;2019;10370
20260618;9;HUÁNUCO;2019;27516
20260618;10;ICA;2019;50602
20260618;11;JUNÍN;2019;62559
20260618;12;LA LIBERTAD;2019;80413
20260618;13;LAMBAYEQUE;2019;55103
20260618;14;LIMA;2019;580872
20260618;15;LORETO;2019;52171
20260618;16;MADRE DE DIOS;2019;8876
20260618;17;MOQUEGUA;2019;7840
20260618;18;PASCO;2019;8767
20260618;19;PIURA;2019;74217
20260618;20;PUNO;2019;48189
20260618;21;SAN MARTÍN;2019;31896
20260618;22;TACNA;2019;18465
20260618;23;TUMBES;2019;18203
20260618;24;UCAYALI;2019;27020
20260618;25;TOTAL;2020;697000
20260618;1;AMAZONAS;2020;5080
20260618;2;ÁNCASH;2020;18182
20260618;3;APURÍMAC;2020;5856
20260618;4;AREQUIPA;2020;24687
20260618;5;AYACUCHO;2020;9372
20260618;6;CAJAMARCA;2020;21206
20260618;7;CUSCO;2020;42364
20260618;8;HUANCAVELICA;2020;4282
20260618;9;HUÁNUCO;2020;12990
20260618;10;ICA;2020;21033
20260618;11;JUNÍN;2020;20609
20260618;12;LA LIBERTAD;2020;42488
20260618;13;LAMBAYEQUE;2020;29026
20260618;14;LIMA;2020;265100
20260618;15;LORETO;2020;33011
20260618;16;MADRE DE DIOS;2020;4218
20260618;17;MOQUEGUA;2020;4632
20260618;18;PASCO;2020;3401
20260618;19;PIURA;2020;44313
20260618;20;PUNO;2020;28019
20260618;21;SAN MARTÍN;2020;19961
20260618;22;TACNA;2020;8835
20260618;23;TUMBES;2020;10856
20260618;24;UCAYALI;2020;17475
20260618;25;TOTAL;2021;833560
20260618;1;AMAZONAS;2021;7634
20260618;2;ÁNCASH;2021;24359
20260618;3;APURÍMAC;2021;5675
20260618;4;AREQUIPA;2021;30561
20260618;5;AYACUCHO;2021;15523
20260618;6;CAJAMARCA;2021;30008
20260618;7;CUSCO;2021;25719
20260618;8;HUANCAVELICA;2021;6615
20260618;9;HUÁNUCO;2021;16003
20260618;10;ICA;2021;24612
20260618;11;JUNÍN;2021;29636
20260618;12;LA LIBERTAD;2021;44653
20260618;13;LAMBAYEQUE;2021;31450
20260618;14;LIMA;2021;355275
20260618;15;LORETO;2021;32586
20260618;16;MADRE DE DIOS;2021;5967
20260618;17;MOQUEGUA;2021;4166
20260618;18;PASCO;2021;5233
20260618;19;PIURA;2021;49153
20260618;20;PUNO;2021;35994
20260618;21;SAN MARTÍN;2021;18802
20260618;22;TACNA;2021;10463
